id;street_adress;longitude;latitude;zipcode;info
1;mindshare Interactions Versatile;Frozen Rubber line;navigating Sports;needs-based Passage;Customer Cambridgeshire end-to-end
2;web-readiness copy;Chips purple;bypass microchip;Table invoice;Berkshire Designer the
3;solution policy Grove;Bike Timor-Leste grow;Account;Toys contextually-based Sausages;National Soap
4;calculating Shoes;HTTP grow USB;Dinar;quantifying;bus
5;National;Taka JBOD state;blue invoice;Administrator Borders Greece;Identity calculate bus
6;calculate;boliviano;time-frame;Tasty Cuban;deposit
7;Orchestrator Dynamic Pound;firewall;Pizza;virtual;generating Computer
8;open-source Montana;analyzer;regional Regional withdrawal;Plastic Investor back;Profound
9;Forward;Licensed;optimize Frozen Tasty;calculate;generation Grocery
10;application;Beauty Court;mint Ramp;Chicken killer cyan;channels
