id;name;include_vat;status;info
1;Quality maroon;true;INACTIVE;payment Inverse interactive
2;Wall Jewelery;true;ACTIVE;Tuna salmon Credit
3;Ergonomic;false;INACTIVE;SAS
4;Pants;true;INACTIVE;microchip magenta
5;index Jewelery concept;false;ACTIVE;Salad
6;Som overriding;true;ACTIVE;Kansas Indonesia
7;Jewelery generate Exclusive;false;ACTIVE;Brand
8;Bahraini Universal web-enabled;false;INACTIVE;methodologies Salad
9;SMS Cambridgeshire;true;ACTIVE;digital open-source payment
10;Sleek International Manager;true;INACTIVE;RAM
