id;name;description;vendor_code;code;top;vat_rate;made_in;info;status
1;Steel;Assistant;cross-platform Principal;wireless C;true;76808;deposit Track actuating;Unbranded Soap;INACTIVE
2;navigating Michigan;Infrastructure;transmitting New Bedfordshire;Malagasy i;false;29161;Small digital Oklahoma;orange Practical;INACTIVE
3;distributed indigo JSON;Personal Steel;solutions;Prairie;false;63453;Chips De-engineered Tunnel;Intelligent;INACTIVE
4;Checking Account Renminbi;Consultant online;project hacking efficient;mobile met;true;19864;wireless sticky Harbors;Customer;INACTIVE
5;Gorgeous;Brand;Plastic Cambridgeshire;Automotive;true;93272;Associate Chicken;Usability multi-byte;ACTIVE
6;Account;Global Industrial Concrete;Pants bypassing Chief;Tuvalu;true;46586;Home Vista Bedfordshire;Tuna;ACTIVE
7;CFA;Colombian B2C;bypassing Gateway Virtual;index Acco;false;14752;synthesizing pink Sausages;Computers Man;ACTIVE
8;sky;Engineer generating;portals Berkshire intuitive;Concrete A;true;94542;markets;adapter Keyboard Industrial;ACTIVE
9;back-end application;USB Future;Venezuela JBOD;mint;true;63521;redefine;Nebraska Producer;ACTIVE
10;revolutionize Orchestrator Directives;Guinea-Bissau SCSI;Serbia;content Co;true;93365;Plastic;Auto;ACTIVE
