id;name;code;is_retail;is_stock_control;address;info
1;Buckinghamshire back-end Som;moratorium;true;true;invoice microchip;Awesome
2;Mandatory streamline;Concrete M;true;true;Pa'anga Mouse Dynamic;Chips Future
3;integrate bluetooth bus;Cyprus Int;true;true;Account reintermediate;Future
4;Incredible Steel Salad;navigate b;false;true;Gloves;Leone Cotton
5;withdrawal vortals system;web Ergono;false;true;Integration Soft ADP;Organic Radial schemas
6;Shoes Loan Account;website;true;false;Corners;matrix transmitting
7;Run;Response t;true;false;green;synthesize interface
8;Chair mobile quantifying;Rubber;true;true;Ergonomic Soft Lek;Keyboard Lek withdrawal
9;HDD;Solomon;false;true;Infrastructure;niches Kids
10;content Savings Security;withdrawal;true;true;Loan;Lake Inlet
